Team Name,Player Name,Number,Position,URL,Mugshot
Rain or Shine Elastopainters,JhonardClarito,#22,F,https://www.pba.ph/players/jhonard-clarito,https://dashboard.pba.ph/assets/players/Clarit23o.png
Blackwater Elite,ArchieConcepcion,#2,,https://www.pba.ph/players/archie-concepcion,https://dashboard.pba.ph/assets/players/Concepc23ion.png
Blackwater Elite,ArchieConcepcion,#2,F/G,https://www.pba.ph/players/archie-concepcion,http://se-img.dcd-production.i.geniussports.com/cd51bcb9687da21719ba9872f16edb91T1.png
Magnolia Chicken Timplados Hotshots,JacksonCorpuz,#1,F,https://www.pba.ph/players/jackson-corpuz,https://dashboard.pba.ph/assets/players/Corpuz23.png
San Miguel Beermen,JerichoCruz,#39,,https://www.pba.ph/players/jericho-cruz,https://dashboard.pba.ph/assets/players/Cruz23.png
Barangay Ginebra San Miguel,Louis RaphaelCu,#18,F/G,https://www.pba.ph/players/louis-raphael-cu,https://dashboard.pba.ph/assets/players/Cu.png
North Port Batang Pier,DamieCuntapay,#37,C/F,https://www.pba.ph/players/damie-cuntapay,https://dashboard.pba.ph/assets/players/24Cuntapay.png
Rain or Shine Elastopainters,KeithDatu,#21,C/F,https://www.pba.ph/players/keith-datu,https://dashboard.pba.ph/assets/players/Datu23.png
Phoenix Fuel Masters,MatthewDaves,#12,C/F,https://www.pba.ph/players/matthew-daves,https://dashboard.pba.ph/assets/players/Daves23.png
Blackwater Elite,ChristianDavid,#25,C/F,https://www.pba.ph/players/christian-david,https://dashboard.pba.ph/assets/players/noimage.png
Barangay Ginebra San Miguel,JaysonDavid,#24,G,https://www.pba.ph/players/jayson-david,https://dashboard.pba.ph/assets/players/J_David.png
Converge FiberXers,John Louisse (JL)De Los Santos,#24,Forward,https://www.pba.ph/players/john-louisse-jl-de-los-santos,https://dashboard.pba.ph/assets/players/Delos_Santos13.png
Magnolia Chicken Timplados Hotshots,Romedela Rosa,#19,G,https://www.pba.ph/players/rome-dela-rosa,https://dashboard.pba.ph/assets/players/Dela_Rosa23.png
Converge FiberXers,John LouiseeDelos Santos,#24,F,https://www.pba.ph/players/john-louisee-delos-santos,http://se-img.dcd-production.i.geniussports.com/c5b2b8244a50c4c5515e70a396b2553eT1.png
Rain or Shine Elastopainters,NickDemusis,#31,F/G,https://www.pba.ph/players/nick-demusis,https://dashboard.pba.ph/assets/players/Demusis23.png
Blackwater Elite,MichaelDigregorio,#3,G,https://www.pba.ph/players/michael-digregorio,https://dashboard.pba.ph/assets/players/HinDiGregorio.png
Barangay Ginebra San Miguel,JaredDillinger,#2,F,https://www.pba.ph/players/jared-dillinger,https://dashboard.pba.ph/assets/players/Dillinger_(1).png
Magnolia Chicken Timplados Hotshots,AristotleDionisio,#57,C/F,https://www.pba.ph/players/aristotle-dionisio,https://dashboard.pba.ph/assets/players/Dionisio23.png
TNT Tropang Giga,Kevin BarkleyEbona,#8,C,https://www.pba.ph/players/kevin-barkley-ebona,https://dashboard.pba.ph/assets/players/24Ebona.png
San Miguel Beermen,Simon NicholasEnciso,#0,G,https://www.pba.ph/players/simon-nicholas-enciso,https://dashboard.pba.ph/assets/players/Enciso23.png
Magnolia Chicken Timplados Hotshots,JosephEriobu,#88,F,https://www.pba.ph/players/joseph-eriobu,https://dashboard.pba.ph/assets/players/Eriobu23.png
Magnolia Chicken Timplados Hotshots,RusselEscoto,#88,C,https://www.pba.ph/players/russel-escoto,https://dashboard.pba.ph/assets/players/Escoto23.png
Blackwater Elite,RichardEscoto,#23,F/G,https://www.pba.ph/players/richard-escoto,https://dashboard.pba.ph/assets/players/RaselEscoto.png
NLEX Road Warriors,DominickFajardo,#19,F/G,https://www.pba.ph/players/dominick-fajardo,https://dashboard.pba.ph/assets/players/D_Fajard23o.png
San Miguel Beermen,June MarFajardo,#15,C,https://www.pba.ph/players/june-mar-fajardo,https://dashboard.pba.ph/assets/players/Fajardo23.png
NLEX Road Warriors,DominickFajardo,#9,Forward,https://www.pba.ph/players/dominick-fajardo,https://dashboard.pba.ph/assets/players/D_Fajard23o.png
Terrafirma Dyip,KevinFerrer,#77,SG,https://www.pba.ph/players/kevin-ferrer,https://dashboard.pba.ph/assets/players/Ferrer-v2.png
North Port Batang Pier,CadeFlores,#22,C/F,https://www.pba.ph/players/cade-flores,https://dashboard.pba.ph/assets/players/C_Flores23.png
Converge FiberXers,InandFornilos,#0,F/G,https://www.pba.ph/players/inand-fornilos,https://dashboard.pba.ph/assets/players/Fornilos23.png
Converge FiberXers,InandFornilos,#0,Forward,https://www.pba.ph/players/inand-fornilos,https://dashboard.pba.ph/assets/players/Fornilos23.png
TNT Tropang Giga,HenryGalinato,#32,Forward,https://www.pba.ph/players/henry-galinato,https://dashboard.pba.ph/assets/players/Galinato23.png
TNT Tropang Giga,HenryGalinato Jr.,#32,C/F,https://www.pba.ph/players/henry-galinato-jr.,http://se-img.dcd-production.i.geniussports.com/f8824fcbee03c8ec174ca440d225c318T1.png
TNT Tropang Giga,Brandon ArnellGanuelas-Rosser,#99,C/F,https://www.pba.ph/players/brandon-arnell-ganuelas-rosser,https://dashboard.pba.ph/assets/players/24BGR.png
TNT Tropang Giga,MattGanuelas-Rosser,#24,F,https://www.pba.ph/players/matt-ganuelas-rosser,https://dashboard.pba.ph/assets/players/Rosse23r.png
Phoenix Fuel Masters,RRGarcia,#8,G,https://www.pba.ph/players/rr-garcia,https://dashboard.pba.ph/assets/players/Garcia.23png.png
Terrafirma Dyip,George IsaacGo,#11,C/F,https://www.pba.ph/players/george-isaac-go,https://dashboard.pba.ph/assets/players/Go23.png
Terrafirma Dyip,JavierGomez De Liano,#22,F/G,https://www.pba.ph/players/javier-gomez-de-liano,https://dashboard.pba.ph/assets/players/Gomez_de_Lia23no.png
Blackwater Elite,BradwynGuinto,#5,C/F,https://www.pba.ph/players/bradwyn-guinto,https://dashboard.pba.ph/assets/players/Guinto_23.png
Barangay Ginebra San Miguel,DonaldGumaru,#20,G,https://www.pba.ph/players/donald-gumaru,https://dashboard.pba.ph/assets/players/Gumaru.png
NLEX Road Warriors,Robert ConradHerndon,#11,G,https://www.pba.ph/players/robert-conrad-herndon,https://dashboard.pba.ph/assets/players/Herndo23n.png
TNT Tropang Giga,BrianHeruela,#13,G,https://www.pba.ph/players/brian-heruela,https://dashboard.pba.ph/assets/players/Heruela23.png
Blackwater Elite,TyrusHill,#9,C/F,https://www.pba.ph/players/tyrus-hill,https://dashboard.pba.ph/assets/players/Hillichurls.png
Meralco Bolts,CliffHodge,#7,F,https://www.pba.ph/players/cliff-hodge,https://dashboard.pba.ph/assets/players/Hodge23.png
Terrafirma Dyip,Stephen JeffreyHolt,#2,F/G,https://www.pba.ph/players/stephen-jeffrey-holt,http://se-img.dcd-production.i.geniussports.com/8117923df05d4d97b091809b6174a218T1.png
TNT Tropang Giga,RahlirHondae-Jefferson,#0,Forward,https://www.pba.ph/players/rahlir-hondae-jefferson,https://dashboard.pba.ph/assets/players/mensplaceholder.png
Blackwater Elite,Regile KentIlagan,#0,PG,https://www.pba.ph/players/regile-kent-ilagan,https://dashboard.pba.ph/assets/players/Ilagilagan.png
Rain or Shine Elastopainters,ShaunIldefonso,#10,G,https://www.pba.ph/players/shaun-ildefonso,https://dashboard.pba.ph/assets/players/Ildefonso23.png
Magnolia Chicken Timplados Hotshots,JioJalalon,#6,G,https://www.pba.ph/players/jio-jalalon,https://dashboard.pba.ph/assets/players/Jalalon23.png
Phoenix Fuel Masters,RJJazul,#13,G,https://www.pba.ph/players/rj-jazul,https://dashboard.pba.ph/assets/players/Jazul23.png
San Miguel Beermen,KytJimenez,#76,Guard,https://www.pba.ph/players/kyt-jimenez,https://dashboard.pba.ph/assets/players/Jimenez23.png
Blackwater Elite,CliffordJopia,#13,C/F,https://www.pba.ph/players/clifford-jopia,https://dashboard.pba.ph/assets/players/24Jopia.png
Meralco Bolts,RaymarJose,#24,F,https://www.pba.ph/players/raymar-jose,https://dashboard.pba.ph/assets/players/Jose23.png
TNT Tropang Giga,GlennKhobuntin,#12,F/G,https://www.pba.ph/players/glenn-khobuntin,https://dashboard.pba.ph/assets/players/Khobuntin23.png
Blackwater Elite,JamesKwekuteye,#7,Guard,https://www.pba.ph/players/james-kwekuteye,https://dashboard.pba.ph/assets/players/Kwekut23eye.png
Phoenix Fuel Masters,ChrisLalata,#6,F,https://www.pba.ph/players/chris-lalata,https://dashboard.pba.ph/assets/players/Lalata23.png
Magnolia Chicken Timplados Hotshots,JamesLaput,#42,C,https://www.pba.ph/players/james-laput,https://dashboard.pba.ph/assets/players/Laput23.png
San Miguel Beermen,MarcioLassiter,#13,G,https://www.pba.ph/players/marcio-lassiter,https://dashboard.pba.ph/assets/players/Lassiter.23png.png
Magnolia Chicken Timplados Hotshots,PaulLee,#3,G,https://www.pba.ph/players/paul-lee,https://dashboard.pba.ph/assets/players/Lee23.png
North Port Batang Pier,Zavier Lucero,#7,Forward,https://www.pba.ph/players/zavier-lucero,https://dashboard.pba.ph/assets/players/
