Team Name,Player Name,Number,Position,URL,Mugshot
NLEX Road Warriors,EnochValdez,#24,G,https://www.pba.ph/players/enoch-valdez,http://se-img.dcd-production.i.geniussports.com/a1415a7219b351e0dfcc55a417460dbfT1.png
TNT Tropang Giga,PaulVarilla,#9,SG/SF,https://www.pba.ph/players/paul-varilla,https://dashboard.pba.ph/assets/players/Varilla23.png
Phoenix Fuel Masters,Rafael LorenzoVerano,#22,C/F,https://www.pba.ph/players/rafael-lorenzo-verano,https://dashboard.pba.ph/assets/players/Verano23.png
Converge FiberXers,KamronVigan-Fleming,#1,Guard,https://www.pba.ph/players/kamron-vigan-fleming,https://dashboard.pba.ph/assets/players/Vig23an.png
Rain or Shine Elastopainters,LuisVillegas,#24,C/F,https://www.pba.ph/players/luis-villegas,https://dashboard.pba.ph/assets/players/Villegas23.png
TNT Tropang Giga,KellyWilliams,#21,F,https://www.pba.ph/players/kelly-williams,https://dashboard.pba.ph/assets/players/Williams23.png
Converge FiberXers,JamilWilson,#99,Forward,https://www.pba.ph/players/jamil-wilson,https://dashboard.pba.ph/assets/players/Jamil_Wilson13.png
Converge FiberXers,DeschonWinston,#77,G,https://www.pba.ph/players/deschon-winston,https://dashboard.pba.ph/assets/players/Winston.png
Converge FiberXers,DeschonWinston,#77,Guard,https://www.pba.ph/players/deschon-winston,https://dashboard.pba.ph/assets/players/Winston.png
Blackwater Elite,JamesYap,#15,F/G,https://www.pba.ph/players/james-yap,https://dashboard.pba.ph/assets/players/24yapj.png
North Port Batang Pier,Fran LouieYu,#5,F/G,https://www.pba.ph/players/fran-louie-yu,https://dashboard.pba.ph/assets/players/Yu.23png.png
Converge FiberXers,KeithZaldivar,#25,C/PF,https://www.pba.ph/players/keith-zaldivar,https://dashboard.pba.ph/assets/players/Zaldivar.png
North Port Batang Pier,Paul ChristianZamar,#12,G,https://www.pba.ph/players/paul-christian-zamar,https://dashboard.pba.ph/assets/players/Zamar23.png
